"","point","review"
"1","8","르네 젤위거를 정말 오랜만에 보았는데영혼을바쳐 연기한거 같은 ...마음이 좀 아프네요"
"2","9","재능은 있었으나 불행한 삶을 산 주디.마지막 무대에서 불렀던 노래가 잊혀지지 않는다."
"3","10","추천합니다"
"4","8","연기가  아닌 주디 네요~~"
"5","7","르네의 연기에 존경을.."
"6","9","누구나.....진짜 사랑을 원하는 거야."
"7","7","결국 그녀의 노래처럼 무지개 너머로 일찍 떠나버린 주디...슬프네.. ㅠㅠ"
"8","8","이젠 무지개 뒤에서 웃고 있을까? ㅠㅠ"
"9","4","연기는 잘했으나 감동은 제로보는내내 만원내고 보는 돈이  아깝고갑갑하고 지루해서 이영화보다 내가 병날거같음"
"10","7","주디 갈란드가 향년 47세 라는데 영화에 표현 해논건 60대 넘는거 같네..."
